subject,num_trials,num_channels,all_channels_acc,all_channels_std,method,k,accuracy,std,retention,baseline_acc
S001,,,,,EEGNet (Spatial Weights),10.0,0.8919790104947527,0.04715142428785607,101.979773740144,0.8746626686656671
S001,,,,,EEGNet (Spatial Weights),15.0,0.9049100449775113,0.03422038980509745,103.45817620843334,0.8746626686656671
S001,,,,,EEGNet (Spatial Weights),20.0,0.9006371814092953,0.04718890554722638,102.96966061021597,0.8746626686656671
S001,,,,,EEGNet (Spatial Weights),25.0,0.8876686656671664,0.05146176911544231,101.48697291738087,0.8746626686656671
S001,,,,,FBCNet (Spatial Weights),10.0,0.8962518740629685,0.03418290854572714,97.63985300122499,0.9179160419790104
S001,,,,,FBCNet (Spatial Weights),15.0,0.8747751124437781,0.07305097451274362,95.30012249897919,0.9179160419790104
S001,,,,,FBCNet (Spatial Weights),20.0,0.879047976011994,0.06008245877061469,95.76561861984484,0.9179160419790104
S001,,,,,FBCNet (Spatial Weights),25.0,0.9005997001499251,0.038530734632683694,98.11351572070234,0.9179160419790104
S001,,,,,Pure CNN (Ablation),10.0,0.7619565217391304,0.011956521739130421,100.57388809182208,0.7576086956521739
S001,,,,,Pure CNN (Ablation),15.0,0.7532983508245877,0.011919040479760112,99.4310592193143,0.7576086956521739
S001,,,,,Pure CNN (Ablation),20.0,0.7228260869565217,0.02717391304347827,95.40889526542324,0.7576086956521739
S001,,,,,Pure CNN (Ablation),25.0,0.7576461769115442,0.01626686656671661,100.0049473111364,0.7576086956521739
S001,,,,,CSP (Pattern Weights),10.0,0.6493253373313344,0.0058470764617691295,103.42069130201182,0.6278485757121439
S001,,,,,CSP (Pattern Weights),15.0,0.6276611694152924,0.0102698650674663,99.97015103575906,0.6278485757121439
S001,,,,,CSP (Pattern Weights),20.0,0.6407796101949026,0.020089955022488726,102.05957853262493,0.6278485757121439
S001,,,,,CSP (Pattern Weights),25.0,0.6276986506746627,0.001611694152923504,99.97612082860725,0.6278485757121439
S001,,,,,Mutual Information,10.0,0.8443028485757121,0.03395802098950529,98.48292746906833,0.8573088455772114
S001,,,,,Mutual Information,15.0,0.8486131934032983,0.029647676161919045,98.98570366808026,0.8573088455772114
S001,,,,,Mutual Information,20.0,0.8744752623688157,0.003785607196401808,102.00236086215189,0.8573088455772114
S001,,,,,Mutual Information,25.0,0.8876686656671664,0.05146176911544231,103.54129322782319,0.8573088455772114
S002,,,,,EEGNet (Spatial Weights),10.0,0.7618065967016492,0.022676161919040483,104.1186414630398,0.7316716641679161
S002,,,,,EEGNet (Spatial Weights),15.0,0.779160419790105,0.013943028485757125,106.49044618615851,0.7316716641679161
S002,,,,,EEGNet (Spatial Weights),20.0,0.7447526236881559,0.03785607196401802,101.78781824701602,0.7316716641679161
S002,,,,,EEGNet (Spatial Weights),25.0,0.6664167916041979,0.05772113943028484,91.0813995184673,0.7316716641679161
S002,,,,,FBCNet (Spatial Weights),10.0,0.7315967016491753,0.001161919040479742,99.43453897096279,0.7357571214392804
S002,,,,,FBCNet (Spatial Weights),15.0,0.71428035982009,0.0012368815592204152,97.08099847172694,0.7357571214392804
S002,,,,,FBCNet (Spatial Weights),20.0,0.7662293853073463,0.0010119940029985064,104.14161996943454,0.7357571214392804
S002,,,,,FBCNet (Spatial Weights),25.0,0.7835832083958021,0.007721139430284851,106.50025471217523,0.7357571214392804
S002,,,,,Pure CNN (Ablation),10.0,0.7056971514242879,0.016041979010494756,94.77976340297005,0.7445652173913043
S002,,,,,Pure CNN (Ablation),15.0,0.692616191904048,0.00565967016491753,93.02290460609112,0.7445652173913043
S002,,,,,Pure CNN (Ablation),20.0,0.7185907046476762,0.005547226386806603,96.51145230304556,0.7445652173913043
S002,,,,,Pure CNN (Ablation),25.0,0.722976011994003,0.007458770614692634,97.10042788824566,0.7445652173913043
S002,,,,,CSP (Pattern Weights),10.0,0.649287856071964,0.01450524737631187,100.67414424362178,0.6449400299850075
S002,,,,,CSP (Pattern Weights),15.0,0.6362443778110944,0.027548725637181415,98.65171151275642,0.6449400299850075
S002,,,,,CSP (Pattern Weights),20.0,0.6666791604197901,0.002886056971514228,103.37072121810891,0.6449400299850075
S002,,,,,CSP (Pattern Weights),25.0,0.6666791604197901,0.002886056971514228,103.37072121810891,0.6449400299850075
S002,,,,,Mutual Information,10.0,0.7184782608695652,0.03152173913043477,95.94094094094095,0.7488755622188905
S002,,,,,Mutual Information,15.0,0.7575712143928035,0.0010494752623688153,101.16116116116116,0.7488755622188905
S002,,,,,Mutual Information,20.0,0.6882683658170914,0.010007496251874082,91.9069069069069,0.7488755622188905
S002,,,,,Mutual Information,25.0,0.7748125937031485,0.018290854572713677,103.46346346346347,0.7488755622188905
S005,,,,,EEGNet (Spatial Weights),10.0,0.7857142857142857,0.03968253968253965,94.73684210526316,0.8293650793650793
S005,,,,,EEGNet (Spatial Weights),15.0,0.8531746031746033,0.019841269841269826,102.8708133971292,0.8293650793650793
S005,,,,,EEGNet (Spatial Weights),20.0,0.8333333333333333,0.015873015873015872,100.47846889952152,0.8293650793650793
S005,,,,,EEGNet (Spatial Weights),25.0,0.7817460317460317,0.019841269841269882,94.25837320574163,0.8293650793650793
S005,,,,,FBCNet (Spatial Weights),10.0,0.8095238095238095,0.05555555555555558,100.4926108374384,0.8055555555555556
S005,,,,,FBCNet (Spatial Weights),15.0,0.8095238095238095,0.047619047619047616,100.4926108374384,0.8055555555555556
S005,,,,,FBCNet (Spatial Weights),20.0,0.7976190476190477,0.011904761904761918,99.01477832512316,0.8055555555555556
S005,,,,,FBCNet (Spatial Weights),25.0,0.7817460317460317,0.09126984126984128,97.04433497536945,0.8055555555555556
S005,,,,,Pure CNN (Ablation),10.0,0.7063492063492063,0.07142857142857145,100.0,0.7063492063492063
S005,,,,,Pure CNN (Ablation),15.0,0.7261904761904762,0.0357142857142857,102.80898876404494,0.7063492063492063
S005,,,,,Pure CNN (Ablation),20.0,0.7301587301587302,0.02380952380952378,103.37078651685397,0.7063492063492063
S005,,,,,Pure CNN (Ablation),25.0,0.7103174603174603,0.02777777777777779,100.561797752809,0.7063492063492063
S005,,,,,CSP (Pattern Weights),10.0,0.6309523809523809,0.011904761904761918,98.14814814814815,0.6428571428571428
S005,,,,,CSP (Pattern Weights),15.0,0.6746031746031746,0.007936507936507964,104.9382716049383,0.6428571428571428
S005,,,,,CSP (Pattern Weights),20.0,0.6626984126984127,0.003968253968253954,103.08641975308643,0.6428571428571428
S005,,,,,CSP (Pattern Weights),25.0,0.6309523809523809,0.0357142857142857,98.14814814814815,0.6428571428571428
S005,,,,,Mutual Information,10.0,0.8293650793650793,0.019841269841269826,108.29015544041451,0.7658730158730158
S005,,,,,Mutual Information,15.0,0.7857142857142857,0.06349206349206349,102.59067357512954,0.7658730158730158
S005,,,,,Mutual Information,20.0,0.8015873015873016,0.007936507936507964,104.66321243523318,0.7658730158730158
S005,,,,,Mutual Information,25.0,0.7857142857142857,0.0,102.59067357512954,0.7658730158730158
S006,,,,,EEGNet (Spatial Weights),10.0,0.8611111111111112,0.05952380952380948,95.17543859649125,0.9047619047619047
S006,,,,,EEGNet (Spatial Weights),15.0,0.8095238095238095,0.031746031746031744,89.47368421052633,0.9047619047619047
S006,,,,,EEGNet (Spatial Weights),20.0,0.8611111111111112,0.05952380952380948,95.17543859649125,0.9047619047619047
S006,,,,,EEGNet (Spatial Weights),25.0,0.8571428571428572,0.02380952380952378,94.73684210526318,0.9047619047619047
S006,,,,,FBCNet (Spatial Weights),10.0,0.8253968253968254,0.03968253968253971,96.74418604651163,0.8531746031746031
S006,,,,,FBCNet (Spatial Weights),15.0,0.876984126984127,0.003968253968253954,102.79069767441862,0.8531746031746031
S006,,,,,FBCNet (Spatial Weights),20.0,0.8888888888888888,0.007936507936507964,104.18604651162791,0.8531746031746031
S006,,,,,FBCNet (Spatial Weights),25.0,0.8888888888888888,0.007936507936507964,104.18604651162791,0.8531746031746031
S006,,,,,Pure CNN (Ablation),10.0,0.6785714285714286,0.003968253968253954,100.0,0.6785714285714286
S006,,,,,Pure CNN (Ablation),15.0,0.6587301587301587,0.0,97.07602339181285,0.6785714285714286
S006,,,,,Pure CNN (Ablation),20.0,0.6746031746031746,0.007936507936507964,99.41520467836258,0.6785714285714286
S006,,,,,Pure CNN (Ablation),25.0,0.6626984126984127,0.003968253968253954,97.66081871345028,0.6785714285714286
S006,,,,,CSP (Pattern Weights),10.0,0.6428571428571428,0.02380952380952378,97.59036144578313,0.6587301587301587
S006,,,,,CSP (Pattern Weights),15.0,0.6468253968253967,0.019841269841269826,98.19277108433734,0.6587301587301587
S006,,,,,CSP (Pattern Weights),20.0,0.6507936507936508,0.023809523809523836,98.79518072289157,0.6587301587301587
S006,,,,,CSP (Pattern Weights),25.0,0.623015873015873,0.02777777777777779,94.57831325301204,0.6587301587301587
S006,,,,,Mutual Information,10.0,0.8095238095238095,0.047619047619047616,90.66666666666667,0.8928571428571428
S006,,,,,Mutual Information,15.0,0.8650793650793651,0.02380952380952378,96.8888888888889,0.8928571428571428
S006,,,,,Mutual Information,20.0,0.8492063492063492,0.007936507936507908,95.11111111111111,0.8928571428571428
S006,,,,,Mutual Information,25.0,0.7936507936507937,0.047619047619047616,88.8888888888889,0.8928571428571428
S007,,,,,EEGNet (Spatial Weights),10.0,0.9365079365079365,0.007936507936507908,103.50877192982455,0.9047619047619048
S007,,,,,EEGNet (Spatial Weights),15.0,0.9126984126984127,0.007936507936507908,100.87719298245614,0.9047619047619048
S007,,,,,EEGNet (Spatial Weights),20.0,0.9325396825396826,0.011904761904761918,103.0701754385965,0.9047619047619048
S007,,,,,EEGNet (Spatial Weights),25.0,0.9126984126984128,0.015873015873015872,100.87719298245614,0.9047619047619048
S007,,,,,FBCNet (Spatial Weights),10.0,0.9246031746031746,0.027777777777777735,98.72881355932203,0.9365079365079365
S007,,,,,FBCNet (Spatial Weights),15.0,0.9246031746031746,0.019841269841269826,98.72881355932203,0.9365079365079365
S007,,,,,FBCNet (Spatial Weights),20.0,0.9087301587301587,0.019841269841269882,97.03389830508475,0.9365079365079365
S007,,,,,FBCNet (Spatial Weights),25.0,0.9166666666666666,0.003968253968253954,97.88135593220339,0.9365079365079365
S007,,,,,Pure CNN (Ablation),10.0,0.8055555555555556,0.059523809523809534,107.40740740740742,0.75
S007,,,,,Pure CNN (Ablation),15.0,0.7976190476190477,0.0674603174603175,106.34920634920636,0.75
S007,,,,,Pure CNN (Ablation),20.0,0.7976190476190477,0.05952380952380948,106.34920634920636,0.75
S007,,,,,Pure CNN (Ablation),25.0,0.7857142857142857,0.03968253968253965,104.76190476190477,0.75
S007,,,,,CSP (Pattern Weights),10.0,0.6904761904761905,0.031746031746031744,99.42857142857143,0.6944444444444444
S007,,,,,CSP (Pattern Weights),15.0,0.6865079365079365,0.02777777777777779,98.85714285714286,0.6944444444444444
S007,,,,,CSP (Pattern Weights),20.0,0.6825396825396826,0.023809523809523836,98.28571428571429,0.6944444444444444
S007,,,,,CSP (Pattern Weights),25.0,0.6904761904761905,0.031746031746031744,99.42857142857143,0.6944444444444444
S007,,,,,Mutual Information,10.0,0.8571428571428571,0.031746031746031744,95.15418502202643,0.9007936507936508
S007,,,,,Mutual Information,15.0,0.8690476190476191,0.003968253968253954,96.47577092511013,0.9007936507936508
S007,,,,,Mutual Information,20.0,0.9007936507936507,0.011904761904761918,99.99999999999999,0.9007936507936508
S007,,,,,Mutual Information,25.0,0.9126984126984127,0.03968253968253965,101.32158590308369,0.9007936507936508
