subject,method,k,num_channels_selected,selected_channels,accuracy,std,full_channels_acc,accuracy_drop,accuracy_drop_pct
S001,ES,10,18,"['Fc4', 'C1', 'C2', 'Cp4', 'Fp1', 'Fpz', 'Afz', 'Af8', 'F3', 'F1', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P1', 'O1', 'O2']",0.7275487256371814,0.06375562218890551,0.8009370314842579,0.07338830584707645,9.162805933829379
S001,ES,15,24,"['Fc4', 'Fc6', 'C1', 'C2', 'Cp5', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Afz', 'Af8', 'F3', 'F1', 'Fz', 'F6', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P1', 'Po3', 'O1', 'O2']",0.6711394302848577,0.033208395802098944,0.8009370314842579,0.1297976011994002,16.20571856427534
S001,ES,20,30,"['Fc5', 'Fc3', 'Fc4', 'Fc6', 'C1', 'C2', 'Cp5', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af3', 'Afz', 'Af8', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P1', 'Po3', 'O1', 'O2']",0.7796851574212893,0.10727136431784107,0.8009370314842579,0.02125187406296858,2.653376386354072
S001,ES,25,36,"['Fc5', 'Fc3', 'Fcz', 'Fc4', 'Fc6', 'C1', 'C2', 'C4', 'Cp5', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af3', 'Afz', 'Af8', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft8', 'T7', 'T8', 'T10', 'Tp7', 'P7', 'P1', 'P8', 'Po3', 'O1', 'Oz', 'O2']",0.731784107946027,0.04212893553223385,0.8009370314842579,0.06915292353823088,8.63400252702513
S001,AS,10,10,"['Fc4', 'C1', 'C2', 'C6', 'Af3', 'T10', 'P1', 'Po7', 'Po3', 'O1']",0.8139055472263867,0.01218140929535233,0.8009370314842579,-0.012968515742128872,-1.6191679535776045
S001,AS,15,15,"['Fc4', 'C1', 'C2', 'C6', 'Cp1', 'Af3', 'Afz', 'Af8', 'F6', 'T10', 'P1', 'P2', 'Po7', 'Po3', 'O1']",0.5964017991004498,0.23118440779610194,0.8009370314842579,0.2045352323838081,25.53699284009547
S001,AS,20,20,"['Fc4', 'C1', 'C2', 'C6', 'Cp1', 'Af3', 'Afz', 'Af8', 'F3', 'F6', 'T10', 'P1', 'Pz', 'P2', 'Po7', 'Po3', 'Poz', 'Po8', 'O1', 'O2']",0.7402923538230884,0.007533733133433307,0.8009370314842579,0.06064467766116943,7.571716037250225
S001,AS,25,25,"['Fc4', 'C1', 'C2', 'C6', 'Cp1', 'Af3', 'Afz', 'Af8', 'F5', 'F3', 'F1', 'F6', 'Ft7', 'Ft8', 'T10', 'Tp8', 'P1', 'Pz', 'P2', 'Po7', 'Po3', 'Poz', 'Po8', 'O1', 'O2']",0.770464767616192,0.022638680659670174,0.8009370314842579,0.030472263868065896,3.8045767232907397
S002,ES,10,20,"['Fc3', 'Fcz', 'Fc6', 'C3', 'Cz', 'C4', 'Cp3', 'Cp4', 'Cp6', 'Af4', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P1', 'P8', 'Po8', 'Iz']",0.7187406296851575,0.0290854572713643,0.7705772113943028,0.05183658170914529,6.726980884284238
S002,ES,15,28,"['Fc3', 'Fcz', 'Fc6', 'C3', 'Cz', 'C2', 'C4', 'Cp3', 'Cp4', 'Cp6', 'Fpz', 'Afz', 'Af4', 'F5', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P5', 'P1', 'P2', 'P8', 'Poz', 'Po8', 'Oz', 'Iz']",0.6316716641679161,0.08384557721139435,0.7705772113943028,0.1389055472263867,18.02616858796633
S002,ES,20,32,"['Fc5', 'Fc3', 'Fcz', 'Fc6', 'C3', 'C1', 'Cz', 'C2', 'C4', 'Cp3', 'Cpz', 'Cp4', 'Cp6', 'Fpz', 'Afz', 'Af4', 'F5', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P5', 'P1', 'P2', 'P6', 'P8', 'Poz', 'Po8', 'Oz', 'Iz']",0.6491754122938531,0.040479760119940034,0.7705772113943028,0.12140179910044968,15.754657327691024
S002,ES,25,36,"['Fc5', 'Fc3', 'Fcz', 'Fc6', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp3', 'Cpz', 'Cp4', 'Cp6', 'Fpz', 'Afz', 'Af4', 'F5', 'F3', 'F2', 'F6', 'Ft7', 'Ft8', 'T8', 'T9', 'Tp7', 'P7', 'P5', 'P1', 'P2', 'P6', 'P8', 'Poz', 'Po8', 'Oz', 'Iz']",0.7228635682158921,0.01851574212893553,0.7705772113943028,0.04771364317841065,6.1919354054185325
S002,AS,10,10,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'F2', 'P2', 'P6', 'P8', 'O1']",0.5670914542728636,0.0018740629685157772,0.7705772113943028,0.20348575712143924,26.406926406926402
S002,AS,15,15,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af4', 'F2', 'Ft7', 'T9', 'P2', 'P6', 'P8', 'O1']",0.6405922038980509,0.023200899550224918,0.7705772113943028,0.12998500749625186,16.86852473369327
S002,AS,20,20,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af3', 'Af4', 'F2', 'F6', 'Ft7', 'T9', 'Tp8', 'P7', 'P2', 'P6', 'P8', 'O1', 'Oz']",0.5975262368815593,0.02856071964017992,0.7705772113943028,0.17305097451274354,22.45731796293593
S002,AS,25,25,"['Fc3', 'Fcz', 'Cz', 'C6', 'Cp2', 'Cp4', 'Fp2', 'Af3', 'Afz', 'Af4', 'F7', 'F2', 'F6', 'Ft7', 'T8', 'T9', 'Tp8', 'P7', 'P2', 'P6', 'P8', 'Po8', 'O1', 'Oz', 'Iz']",0.5405547226386807,0.1318590704647676,0.7705772113943028,0.23002248875562215,29.850673670898388
S005,ES,10,17,"['Fc5', 'Fc3', 'Fc2', 'Fc6', 'C4', 'Cp3', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af8', 'F1', 'F2', 'Ft7', 'T9', 'P8', 'Po4']",0.8134920634920635,0.019841269841269882,0.8492063492063492,0.0357142857142857,4.205607476635512
S005,ES,15,23,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc6', 'C3', 'C1', 'C4', 'Cp3', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af8', 'F1', 'F2', 'Ft7', 'T8', 'T9', 'P8', 'Poz', 'Po4']",0.8492063492063492,0.007936507936507908,0.8492063492063492,0.0,0.0
S005,ES,20,29,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc6', 'C3', 'C1', 'C4', 'Cp3', 'Cp1', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af7', 'Af8', 'F3', 'F1', 'F2', 'Ft7', 'T7', 'T8', 'T9', 'Pz', 'P8', 'Poz', 'Po4', 'Oz']",0.6111111111111112,0.23015873015873017,0.8492063492063492,0.23809523809523803,28.037383177570085
S005,ES,25,35,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C4', 'C6', 'Cp3', 'Cp1', 'Cpz', 'Cp4', 'Fpz', 'Fp2', 'Af7', 'Af8', 'F3', 'F1', 'F2', 'F4', 'Ft7', 'T7', 'T8', 'T9', 'Pz', 'P2', 'P8', 'Poz', 'Po4', 'O1', 'Oz']",0.8174603174603174,0.015873015873015872,0.8492063492063492,0.031746031746031744,3.7383177570093453
S005,AS,10,10,"['Fc5', 'Fcz', 'C5', 'C3', 'Cp3', 'F6', 'P1', 'Po7', 'Poz', 'Po4']",0.7658730158730158,0.027777777777777735,0.8492063492063492,0.08333333333333337,9.813084112149538
S005,AS,15,15,"['Fc5', 'Fc1', 'Fcz', 'C5', 'C3', 'C4', 'Cp3', 'Fpz', 'Af8', 'F2', 'F6', 'P1', 'Po7', 'Poz', 'Po4']",0.5436507936507937,0.1388888888888889,0.8492063492063492,0.30555555555555547,35.98130841121495
S005,AS,20,20,"['Fc5', 'Fc1', 'Fcz', 'C5', 'C3', 'C1', 'C4', 'Cp3', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F2', 'F6', 'T9', 'P7', 'P1', 'Po7', 'Poz', 'Po4']",0.503968253968254,0.16269841269841268,0.8492063492063492,0.34523809523809523,40.654205607476634
S005,AS,25,25,"['Fc5', 'Fc1', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C4', 'Cp3', 'Cp2', 'Cp4', 'Fpz', 'Fp2', 'Af3', 'Af8', 'F2', 'F6', 'T9', 'Tp8', 'P7', 'P1', 'P2', 'Po7', 'Poz', 'Po4']",0.7023809523809523,0.12301587301587297,0.8492063492063492,0.14682539682539686,17.289719626168228
S006,ES,10,18,"['Fc5', 'Fc2', 'Fc4', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'T7', 'Pz', 'P4', 'P6', 'Oz']",0.7658730158730158,0.05158730158730157,0.7738095238095238,0.00793650793650802,1.0256410256410364
S006,ES,15,26,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C1', 'C2', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'F2', 'T7', 'Pz', 'P4', 'P6', 'Po4', 'O1', 'Oz', 'Iz']",0.623015873015873,0.04365079365079361,0.7738095238095238,0.1507936507936508,19.48717948717949
S006,ES,20,32,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'C2', 'C4', 'C6', 'Cp1', 'Cpz', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af4', 'F7', 'F3', 'F2', 'F6', 'F8', 'T7', 'Pz', 'P4', 'P6', 'Po4', 'O1', 'Oz', 'O2', 'Iz']",0.6865079365079365,0.051587301587301626,0.7738095238095238,0.08730158730158732,11.282051282051285
S006,ES,25,38,"['Fc5', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'C2', 'C4', 'C6', 'Cp1', 'Cpz', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Afz', 'Af4', 'F7', 'F5', 'F3', 'F2', 'F6', 'F8', 'T7', 'T10', 'P5', 'Pz', 'P4', 'P6', 'P8', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']",0.5277777777777778,0.1706349206349206,0.7738095238095238,0.24603174603174605,31.794871794871792
S006,AS,10,10,"['Fc5', 'Cp5', 'Cpz', 'Cp4', 'F2', 'F6', 'Pz', 'P4', 'P8', 'Po8']",0.6150793650793651,0.04365079365079366,0.7738095238095238,0.15873015873015872,20.51282051282051
S006,AS,15,15,"['Fc5', 'Fcz', 'Cp5', 'Cpz', 'Cp4', 'Cp6', 'Af3', 'F2', 'F6', 'Ft7', 'P1', 'Pz', 'P4', 'P8', 'Po8']",0.6428571428571428,0.015873015873015872,0.7738095238095238,0.13095238095238104,16.923076923076934
S006,AS,20,20,"['Fc5', 'Fcz', 'Cp5', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af3', 'F2', 'F6', 'Ft7', 'T9', 'P1', 'Pz', 'P4', 'P8', 'Po8']",0.6706349206349207,0.05952380952380948,0.7738095238095238,0.10317460317460314,13.333333333333327
S006,AS,25,25,"['Fc5', 'Fcz', 'Fc4', 'Fc6', 'C2', 'Cp5', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Af7', 'Af3', 'F2', 'F6', 'Ft7', 'Ft8', 'T9', 'P1', 'Pz', 'P4', 'P8', 'Po8', 'O1']",0.6031746031746033,0.13492063492063494,0.7738095238095238,0.17063492063492058,22.051282051282044
S007,ES,10,19,"['Fc3', 'Fcz', 'C5', 'C1', 'C6', 'Cp4', 'Cp6', 'F5', 'Fz', 'F2', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4']",0.8492063492063492,0.06349206349206349,0.9246031746031746,0.07539682539682546,8.154506437768246
S007,ES,15,26,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C6', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'Fz', 'F2', 'Ft8', 'T7', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P4', 'P8', 'O1', 'Iz']",0.873015873015873,0.015873015873015872,0.9246031746031746,0.051587301587301626,5.579399141630905
S007,ES,20,33,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C6', 'Cp1', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'F3', 'Fz', 'F2', 'Ft8', 'T7', 'T8', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P2', 'P4', 'P8', 'Po7', 'Po4', 'Po8', 'O1', 'Iz']",0.9047619047619048,0.023809523809523836,0.9246031746031746,0.019841269841269882,2.14592274678112
S007,ES,25,38,"['Fc3', 'Fcz', 'Fc2', 'C5', 'C3', 'C1', 'C2', 'C6', 'Cp3', 'Cp1', 'Cp4', 'Cp6', 'Af7', 'Af8', 'F5', 'F3', 'F1', 'Fz', 'F2', 'Ft7', 'Ft8', 'T7', 'T8', 'T10', 'Tp7', 'P7', 'P5', 'P3', 'Pz', 'P2', 'P4', 'P8', 'Po7', 'Poz', 'Po4', 'Po8', 'O1', 'Iz']",0.8174603174603174,0.09523809523809523,0.9246031746031746,0.1071428571428572,11.587982832618032
S007,AS,10,10,"['Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C2', 'F5', 'P1', 'P8', 'Poz']",0.8095238095238095,0.047619047619047616,0.9246031746031746,0.11507936507936511,12.446351931330476
S007,AS,15,15,"['Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'Cp5', 'F5', 'F1', 'P7', 'P1', 'P8', 'Poz']",0.8690476190476191,0.059523809523809534,0.9246031746031746,0.05555555555555558,6.008583690987127
S007,AS,20,20,"['Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'Cz', 'C2', 'C6', 'Cp5', 'Cp2', 'Cp4', 'F5', 'F1', 'P7', 'P1', 'P8', 'Poz', 'Po8']",0.9126984126984127,0.031746031746031744,0.9246031746031746,0.011904761904761973,1.287553648068677
